City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Leopold,AU,2021-10-05 19:52:45,-38.1833,144.4667,47.84,92,20,1.01
260,Umm Kaddadah,SD,2021-10-05 19:52:46,13.6017,26.6876,87.93,18,0,10.87
261,Yining,CN,2021-10-05 19:52:46,29.0361,114.5636,69.89,96,1,2.53
262,Nuuk,GL,2021-10-05 19:51:47,64.1835,-51.7216,41.88,60,100,10.0
263,Santa Maria Del Oro,MX,2021-10-05 19:52:46,25.9333,-105.3667,77.07,41,33,7.56
264,Sao Jose Da Coroa Grande,BR,2021-10-05 19:52:47,-8.8978,-35.1478,77.18,75,55,6.87
265,Anadyr,RU,2021-10-05 19:52:47,64.75,177.4833,32.5,100,90,8.01
266,Novaya Zaimka,RU,2021-10-05 19:52:48,56.4857,66.9241,28.24,88,93,3.96
267,Marystown,CA,2021-10-05 19:52:48,47.1666,-55.1483,52.86,100,100,8.01
268,Maragogipe,BR,2021-10-05 19:52:48,-12.7778,-38.9194,80.65,64,99,9.84
269,Asgabat,TM,2021-10-05 19:52:49,37.95,58.3833,62.46,27,75,6.91
270,Honningsvag,NO,2021-10-05 19:52:49,70.9821,25.9704,48.99,83,97,13.76
271,Fare,PF,2021-10-05 19:52:49,-16.7,-151.0167,78.64,65,0,15.48
272,Coquimbo,CL,2021-10-05 19:49:49,-29.9533,-71.3436,58.73,72,20,14.97
273,Burgos,ES,2021-10-05 19:52:50,42.3394,-3.7079,52.21,93,20,6.91
274,Pedernales,DO,2021-10-05 19:52:50,18.0384,-71.744,88.61,57,100,14.09
275,Sturgis,US,2021-10-05 19:52:51,41.7992,-85.4192,73.42,44,75,9.22
276,Ust-Uda,RU,2021-10-05 19:52:51,54.1742,103.0304,33.26,75,16,2.13
277,San Cristobal,VE,2021-10-05 19:52:51,7.7669,-72.225,80.78,66,91,5.5
278,Yulara,AU,2021-10-05 19:52:52,-25.2406,130.9889,71.44,23,86,5.75
279,Sassandra,CI,2021-10-05 19:52:52,4.95,-6.0833,76.44,90,0,5.5
280,Udachnyy,RU,2021-10-05 19:52:53,66.4167,112.4,28.27,78,100,16.82
281,Port Hedland,AU,2021-10-05 19:52:53,-20.3167,118.5667,62.65,94,2,4.61
282,High Rock,BS,2021-10-05 19:52:53,26.6208,-78.2833,87.82,72,5,12.17
283,Alice Springs,AU,2021-10-05 19:52:54,-23.7,133.8833,62.15,29,4,5.75
284,Lavrentiya,RU,2021-10-05 19:52:54,65.5833,-171.0,36.23,99,100,7.16
285,Yarada,IN,2021-10-05 19:52:54,17.65,83.2667,80.92,94,40,2.3
286,Pozo Colorado,PY,2021-10-05 19:52:55,-23.4923,-58.7972,89.37,36,27,1.99
287,Akyab,MM,2021-10-05 19:52:55,20.15,92.9,79.86,86,4,3.49
288,Kahului,US,2021-10-05 19:52:56,20.8947,-156.47,84.22,63,20,18.41
289,Florence,IT,2021-10-05 19:52:56,43.7667,11.25,70.84,71,0,9.22
290,Kamaishi,JP,2021-10-05 19:52:56,39.2667,141.8833,61.79,91,100,11.74
291,Kargasok,RU,2021-10-05 19:52:57,59.0556,80.8572,27.39,83,52,4.16
