,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
557,Rundu,,76.71,overcast clouds,-17.9333,19.7667,Millennia Estate
558,San Pedro,PH,78.35,haze,14.35,121.0167,Villa Veronica Resort Private Pool
562,Kolokani,ML,79.43,broken clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
565,Inyonga,TZ,77.58,broken clouds,-6.7167,32.0667,Eden Rock Lodge
569,Coron,PH,79.25,overcast clouds,11.9986,120.2043,Coron Westown Resort
577,Camapua,BR,75.83,overcast clouds,-19.5314,-54.0439,Comercial Estrela
582,Namatanai,PG,82.38,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
583,Mount Isa,AU,80.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
585,Manokwari,ID,80.64,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
590,Inirida,CO,76.05,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
603,Yilan,TW,83.82,overcast clouds,24.757,121.753,Dar Chen Hotel
604,Humaita,BR,77.49,heavy intensity rain,-7.5061,-63.0208,Corrêa Hotel
607,Najran,SA,79.45,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
616,Bonthe,SL,79.03,few clouds,7.5264,-12.505,Bonthe Holiday Village
618,Chikitigarh,IN,77.43,scattered clouds,19.2,84.6167,Chikiti kalyan mandap
627,Zhuhai,CN,78.69,shower rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
630,Dingle,PH,77.16,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
631,Kota,IN,79.45,clear sky,25.1833,75.8333,Hotel Tanishq
645,Hun,LY,78.26,clear sky,29.1268,15.9477,Alrwasi Hotel
646,Davila,PH,76.98,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
650,La Primavera,CO,81.61,broken clouds,5.4906,-70.4092,La Riviera Hotel Colonial
654,Grand-Lahou,CI,76.86,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
658,Tautira,PF,84.22,clear sky,-17.7333,-149.15,Pension Oaoa
661,Mitsamiouli,KM,76.12,clear sky,-11.3847,43.2844,Foyer ADM
666,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
671,Diamantina,BR,77.68,overcast clouds,-18.2494,-43.6003,POUSADA OURO DE MINAS
674,Trairi,BR,79.3,overcast clouds,-3.2778,-39.2689,janelas do mar
682,Filadelfia,US,76.69,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
692,Kolondieba,ML,78.93,overcast clouds,11.0882,-6.8926,Hotel Dakan
693,Trincomalee,LK,80.74,overcast clouds,8.5711,81.2335,Welcombe Hotel
